iteration,timestamp,chunk_size,chunk_overlap,similarity_top_k,system_prompt_type,avg_relevancy,avg_faithfulness,avg_response_time,valid_responses,total_questions,individual_relevancy_scores,individual_faithfulness_scores,individual_response_times
1,20250927_133405,1024,192,3,custom,1.0,0.96,5.040916872024536,25,25,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[5.079156160354614, 5.589276313781738, 3.1723990440368652, 4.493369102478027, 18.734965085983276, 3.327530860900879, 2.8692431449890137, 2.255743980407715, 1.9387788772583008, 3.0715699195861816, 3.49711012840271, 3.8994269371032715, 8.93270206451416, 3.5782392024993896, 4.095784902572632, 5.220599889755249, 4.918251991271973, 4.8069891929626465, 5.429978132247925, 6.242904186248779, 6.5398359298706055, 3.380422830581665, 5.018296003341675, 5.2202160358428955, 4.710131883621216]"
1,2025-09-27T13:59:05.726063,896,224,5,default,0.98,1.0,4.056164722442627,25,25,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[5.544764995574951, 3.5838840007781982, 2.285313844680786, 3.8899049758911133, 1.8291428089141846, 2.6662230491638184, 2.773690938949585, 2.06925106048584, 2.203615188598633, 2.5788121223449707, 4.29472804069519, 2.6921207904815674, 6.6864073276519775, 3.376120090484619, 2.607017993927002, 2.7564589977264404, 5.119472980499268, 6.450695991516113, 5.204937934875488, 7.199046850204468, 5.425077676773071, 2.657822847366333, 3.994079828262329, 4.705793857574463, 8.809733867645264]"
2,2025-09-27T14:04:25.278382,512,128,5,custom,0.96,1.0,4.670857200622558,25,25,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[3.8777108192443848, 3.6115479469299316, 2.648944139480591, 4.132272958755493, 3.894474983215332, 4.362452030181885, 6.40482497215271, 4.437385082244873, 3.9929561614990234, 3.364480972290039, 4.777621030807495, 2.677764892578125, 7.529935121536255, 4.2209672927856445, 3.7916290760040283, 4.196352958679199, 4.268420696258545, 5.835352182388306, 4.891118049621582, 6.7594640254974365, 6.184848785400391, 3.6468138694763184, 4.717101097106934, 7.223153829574585, 5.323837041854858]"
3,2025-09-27T14:09:38.110618,512,0,9,custom,0.98,1.0,6.688224039077759,25,25,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[10.238184928894043, 4.336339235305786, 4.201741933822632, 4.8059587478637695, 4.816881895065308, 3.888629674911499, 3.893860101699829, 3.0361599922180176, 2.868211030960083, 4.1892359256744385, 6.111966848373413, 3.822136163711548, 14.642532110214233, 5.353748798370361, 4.662662982940674, 8.582455158233643, 5.544945240020752, 7.164122104644775, 7.2665581703186035, 13.612584829330444, 11.73768401145935, 7.0609447956085205, 8.1907479763031, 9.290966033935547, 7.886342287063599]"
4,2025-09-27T14:13:54.729148,640,96,1,custom,0.96,0.96,4.654796991348267,25,25,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[4.38242506980896, 6.446857929229736, 4.201919078826904, 5.443287134170532, 3.7857489585876465, 3.70876407623291, 3.8021249771118164, 3.618086099624634, 2.9866819381713867, 3.2277019023895264, 5.120514154434204, 2.9100778102874756, 7.353395938873291, 4.386635065078735, 3.3617708683013916, 3.805870771408081, 4.300242900848389, 5.437214136123657, 5.529929161071777, 5.730943918228149, 5.9837329387664795, 3.1736669540405273, 6.616843938827515, 5.431787967681885, 5.623701095581055]"
